Created by: G Romme, University of Toronto Libraries, GIS & Map Library,,
from Census of Canada, 2006: cartographic boundary file at the FSA level,,,
2008/04/17,,,,
,,,,
pruid,fsa,shape_area,shape_len,sq_km
24,H9K,6.73593431586e-04,0.15,6.03
24,H9P,1.59010964851e-03,0.24,14.25
24,H9R,1.70234507301e-03,0.23,15.25
24,H9S,1.05521105011e-03,0.33,9.46
24,H9W,1.26652472461e-03,0.20,11.36
24,H9X,2.81523357994e-03,0.32,25.25
24,J0A,0.15,3.00,1413.04
24,J0B,0.59,9.18,5366.67
24,J0C,0.12,3.89,1118.11
24,J0E,0.26,5.16,2376.63
24,J0G,0.12,3.15,1089.90
24,J0H,0.22,3.97,2016.59
24,J0J,0.18,2.93,1646.63
24,J0K,1.53,12.11,13368.46
24,J0L,0.14,4.54,1324.61
24,J0M,77.56,189.64,495081.03
24,J0N,0.02,1.24,225.59
24,J0P,0.06,2.47,621.19
24,J0R,0.03,1.17,267.91
24,J0S,0.16,4.72,1536.23
24,J0T,0.76,9.70,6671.14
24,J0V,0.28,6.00,2542.65
24,J0W,2.20,13.96,18972.85
24,J0X,2.39,12.97,21017.16
24,J0Y,7.30,39.99,59036.93
24,J0Z,3.70,21.97,31299.80
24,J1A,0.03,1.48,293.62
24,J1C,5.11505848777e-03,0.47,45.81
24,J1E,1.9409428794e-03,0.24,17.41
24,J1G,1.43963051613e-03,0.25,12.92
24,J1H,4.78691963473e-03,0.72,42.94
24,J1J,1.18378791166e-03,0.22,10.62
24,J1K,9.0011190181e-04,0.16,8.08
24,J1L,1.32299193319e-03,0.23,11.87
24,J1M,3.44004573891e-03,0.35,30.90
24,J1N,0.01,0.60,90.97
24,J1R,6.32053370322e-03,0.59,56.74
24,J1S,0.02,0.92,206.82
24,J1T,5.51027839723e-03,0.54,49.01
24,J1X,0.04,1.20,381.19
24,J1Z,0.02,0.98,178.58
24,J2A,0.01,0.62,102.53
24,J2B,0.01,1.29,127.26
24,J2C,3.05203641531e-03,0.50,27.06
24,J2E,6.85889693666e-04,0.15,6.07
24,J2G,0.01,1.63,130.71
24,J2H,1.59498747658e-03,0.57,14.30
24,J2J,8.94590434971e-04,0.36,8.03
24,J2K,0.01,0.84,166.68
24,J2L,0.01,0.63,120.19
24,J2M,0.01,0.85,124.18
24,J2N,0.01,0.50,90.11
24,J2R,0.01,0.86,127.03
24,J2S,4.33200246215e-03,0.42,38.67
24,J2T,4.40396902775e-03,0.41,39.33
24,J2W,6.34600510962e-03,0.48,57.01
